IDTournament|Tournament|Indoor|TournamentType|Surface|Country|TournamentPrize|Draw|TournamentStart|TournamentEnd|e|y
0|Australian Open|0|1|Hard|Australia|A$13803160|128|14.01.2013|27.01.2013|580|2013
1|Roland Garros|0|1|Clay|France|€10104000|128|27.05.2013|09.06.2013|520|2013
2|Wimbledon|0|1|Grass|Great Britain|£10514000|128|24.06.2013|07.07.2013|540|2013
3|US Open|0|1|Hard|NY, U.S.A.|$16102000|128|26.08.2013|08.09.2013|560|2013
4|Brisbane International presented by Suncorp|0|2|Hard|Australia|$436630|32|31.12.2012|06.01.2013|339|2013
5|Aircel Chennai Open|0|2|Hard|India|$385150|32|31.12.2012|06.01.2013|891|2013
6|Qatar ExxonMobil Open|0|2|Hard|Qatar|$1054720|32|31.12.2012|06.01.2013|451|2013
7|Heineken Open|0|2|Hard|New Zealand|$433400|32|07.01.2013|13.01.2013|301|2013
8|Apia International Sydney|0|2|Hard|Australia|$436630|32|07.01.2013|13.01.2013|338|2013
9|Open Sud de France|1|2|Hard|France|€410200|32|04.02.2013|10.02.2013|375|2013
10|Royal Guard Open Chile |0|2|Clay|Chile|$410200|32|04.02.2013|10.02.2013|505|2013
11|PBZ Zagreb Indoors|1|2|Hard|Croatia|€410200|32|04.02.2013|10.02.2013|2276|2013
12|ABN AMRO World Tennis Tournament|1|2|Hard|The Netherlands|€1267875|32|11.02.2013|17.02.2013|407|2013
13|SAP Open|1|2|Hard|CA, U.S.A.|$546930|32|11.02.2013|17.02.2013|424|2013
14|Brasil Open 2014|1|2|Clay|Brazil|$455775|32|11.02.2013|17.02.2013|533|2013
15|Copa Claro|0|2|Clay|Argentina|$493670|32|18.02.2013|24.02.2013|506|2013
16|Open 13|1|2|Hard|France|€528135|32|18.02.2013|24.02.2013|496|2013
17|U.S. National Indoor Tennis Championships|1|2|Hard|TN, U.S.A.|$1212750|32|18.02.2013|24.02.2013|402|2013
18|Abierto Mexicano Telcel|0|2|Clay|Mexico|$1212750|32|25.02.2013|03.03.2013|807|2013
19|Delray Beach Open by The  Venetian® Las Vegas|0|2|Hard|FL, U.S.A.|$455775|32|25.02.2013|03.03.2013|499|2013
20|Dubai Duty Free Tennis Championships|0|2|Hard|U.A.E.|$1785500|32|25.02.2013|03.03.2013|495|2013
21|BNP Paribas Open|0|2|Hard|CA, U.S.A.|$5191943|128|04.03.2013|17.03.2013|404|2013
22|Miami Open, presented by Itau|0|2|Hard|FL, U.S.A.|$4330625|128|18.03.2013|31.03.2013|403|2013
